model,experiment,cv_auc,cv_log_loss,cv_accuracy,balanced_accuracy,n_features,n_selected_features,chosen_threshold,run_id
logreg_l1,full,0.9161052372756332,0.344612965308865,0.840909090909091,0.8372756331448241,58,52,0.6699999999999999,run_20260429_212330_5a7789a3
logreg_l1,no_mana_buckets,0.9110892549791,0.350415254013088,0.8378787878787879,0.8357019916400295,51,48,0.6699999999999999,run_20260429_212339_e71aa6e0
logreg_l1,land_only,0.8652815343004672,0.41212862653520244,0.8287878787878789,0.813621834275879,3,3,0.5599999999999999,run_20260429_212348_e60d34be
logreg_l1,cards_only,0.6141135972461272,0.6445280181346541,0.6303030303030304,0.6123432505532334,48,28,0.6449999999999999,run_20260429_212349_59600976
xgboost,full,0.926481435947873,0.34587490764961293,0.8454545454545453,0.8507253503811163,58,42,0.6649999999999999,run_20260429_212350_1027c023
xgboost,no_mana_buckets,0.9192033439881977,0.35907727349223884,0.8393939393939395,0.8377182198180477,51,38,0.59,run_20260429_212355_053d5280
xgboost,land_only,0.8511187607573149,0.4240518872270549,0.8363636363636363,0.813621834275879,3,3,0.625,run_20260429_212359_05dd8998
xgboost,cards_only,0.7744283255470863,0.53516964462668,0.7545454545454546,0.7155888861568724,48,27,0.6,run_20260429_212402_4bfa4310
lightgbm,full,0.9236783870174576,0.34326316395693485,0.8515151515151516,0.8521022866978116,58,36,0.6,run_20260429_212405_46a2db6e
lightgbm,no_mana_buckets,0.9201376936316695,0.34627456762579184,0.85,0.842094910253258,51,36,0.6549999999999999,run_20260429_212425_4568ffd4
lightgbm,land_only,0.8427587902630931,0.4225947480633696,0.8363636363636363,0.813621834275879,3,2,0.6,run_20260429_212445_3eb9663d
lightgbm,cards_only,0.7630686009343497,0.5506105400985029,0.7378787878787879,0.7091713793951315,48,21,0.5499999999999999,run_20260429_212452_a82d2752
